{0., 2.8853900817780302}
{0.5, 2.8796271204493924}
{1., 2.815264893520621}
{1.5, 2.6598235320875556}
{2., 2.4841030493779956}
{2.5, 2.36099941144467}
{3., 2.3112081914640856}
{3.5, 2.3104093501353686}
{4., 2.2935209459429924}
{4.5, 2.211737098274588}
{5., 2.0949862821758307}
{5.5, 1.9969788572792093}
{6., 1.9436339100291766}
{6.5, 1.9339608010482108}
{7., 1.9390166798470032}
{7.5, 1.9166737037659596}
{8., 1.8579371006337475}
{8.5, 1.7902924713030317}
{9., 1.7411299320748417}
{9.5, 1.7232303860514164}
{10., 1.7293666200350248}
{10.5, 1.731459155220926}
{11., 1.7069953483690021}
{11.5, 1.6625403917871409}
{12., 1.6194959587811042}
{12.5, 1.595894152769298}
{13., 1.5969957712119704}
{13.5, 1.6076407466131748}
{14., 1.603491776678581}
{14.5, 1.577122813377638}
{15., 1.5413190421623648}
{15.5, 1.5146071456195198}
{16., 1.5093388770785205}
{16.5, 1.5208825441333806}
{17., 1.52843933143239}
{17.5, 1.5164121648816637}
{18., 1.48867007876916}
{18.5, 1.4612509068310517}
{19., 1.450132406763304}
{19.5, 1.458759682246675}
{20., 1.4721792569997914}
{20.5, 1.4712885374895752}
{21., 1.4519614308903481}
{21.5, 1.4259576776435885}
{22., 1.4103039208494672}
{22.5, 1.4143020173348928}
{23., 1.4295114672517868}
{23.5, 1.4367467568064478}
{24., 1.4256833817533927}
{24.5, 1.4027813312897004}
{25., 1.384209240108249}
{25.5, 1.3831400674532048}
{26., 1.3973475251972243}
{26.5, 1.4099348780086367}
{27., 1.4064554625991361}
{27.5, 1.3878709378876224}
{28., 1.3680107104857302}
{28.5, 1.362180179728087}
{29., 1.373598955863873}
{29.5, 1.3890784283279087}
{30., 1.3921150685497334}
{30.5, 1.3785687153697443}
{31., 1.3588997194996253}
{31.5, 1.3490384827542012}
{32., 1.3566413572970277}
{32.5, 1.3729508613632544}
{33., 1.381203494343069}
{33.5, 1.3729734496636514}
{34., 1.3547514886973593}
{34.5, 1.3418036712166526}
{35., 1.3451299134070596}
{35.5, 1.3606154897842817}
{36., 1.3726858534743223}
{36.5, 1.3696988966645471}
{37., 1.3539316827429668}
{37.5, 1.33893298553085}
{38., 1.3379387398942535}
{38.5, 1.3513216884694932}
{39., 1.3658237266016902}
{39.5, 1.3677219534116332}
{40., 1.3551775211433177}
{40.5, 1.3391957870713525}
{41., 1.334133679869866}
{41.5, 1.34448008955119}
{42., 1.3600923236511817}
{42.5, 1.3662920618346672}
{43., 1.3575174454693202}
{43.5, 1.3416010890190395}
{44., 1.332969907624627}
{44.5, 1.339648254785332}
{45., 1.3551355533772798}
{45.5, 1.3649003042282501}
{46., 1.3602093490868008}
{46.5, 1.3453569132528043}
{47., 1.3338645800167797}
{47.5, 1.3365128928775627}
{48., 1.3507592223408014}
{48.5, 1.3632242475915883}
{49., 1.3626922207356222}
{49.5, 1.3498229379017825}
{50., 1.3363357092583876}
{50.5, 1.3348692158241748}
{51., 1.3468921638391387}
{51.5, 1.3610862209350199}
{52., 1.364582523049688}
{52.5, 1.3544680215173321}
{53., 1.3399624078360657}
{53.5, 1.3345929797228264}
{54., 1.3435666624547191}
{54.5, 1.3584437022785516}
{55., 1.3656243800098418}
{55.5, 1.3588597096000377}
{56., 1.3443701637230352}
{56.5, 1.3355690337307773}
{57., 1.3408909067188173}
{57.5, 1.3553757522858878}
{58., 1.3656630388568611}
{58.5, 1.3626586489839223}
{59., 1.3492064158747807}
{59.5, 1.3376701678512384}
{60., 1.3390135041583713}
{60.5, 1.3520515955487018}
{61., 1.3646765748111829}
{61.5, 1.3655912809370077}
{62., 1.3541262449953182}
{62.5, 1.3407574719701145}
{63., 1.3380586398172294}
{63.5, 1.3487008869679031}
{64., 1.362738306861072}
{64.5, 1.3674582226616097}
{65., 1.35880049631106}
{65.5, 1.3446278085898657}
{66., 1.3381302539883326}
{66.5, 1.345590221873969}
{67., 1.3600002403300522}
{67.5, 1.3681688801867469}
{68., 1.3629196150264136}
{68.5, 1.3490269536298563}
{69., 1.3392810879741752}
{69.5, 1.3429785102496505}
{70., 1.3566822967083714}
{70.5, 1.3677029841684867}
{71., 1.366223382747879}
{71.5, 1.3536626976009172}
{72., 1.3414586818730596}
{72.5, 1.341131518975482}
{73., 1.3530704881081101}
{73.5, 1.3661198208601397}
{74., 1.368525455254537}
{74.5, 1.3582298133867912}
{75., 1.3445430427350027}
{75.5, 1.3402454487806292}
{76., 1.3494810837897075}
{76.5, 1.3635753633884211}
{77., 1.369682466876601}
{77.5, 1.3624294362409972}
{78., 1.348342577936311}
{78.5, 1.3404255053600416}
{79., 1.3462394802685123}
{79.5, 1.3602956206919197}
{80., 1.3696433939457577}
{80.5, 1.3659814290097718}
{81., 1.3525945182126655}
{81.5, 1.3417148280781368}
{82., 1.3436380759167323}
{82.5, 1.3565578958815947}
{83., 1.368450613651485}
{83.5, 1.3686386139889375}
{84., 1.3569982688589428}
{84.5, 1.3440483258942113}
{85., 1.341915346722697}
{85.5, 1.3526802342344775}
{86., 1.366214898719041}
{86.5, 1.3702395070069908}
{87., 1.3612301369464275}
{87.5, 1.3472546453006864}
{88., 1.3412640956525483}
{88.5, 1.348984288314853}
{89., 1.3631158870108009}
{89.5, 1.370690727756242}
{90., 1.3649860777824208}
{90.5, 1.3511004770558768}
{91., 1.3417507884740048}
{91.5, 1.3457997394859493}
{92., 1.3594142969359502}
{92.5, 1.3699620976508484}
{93., 1.3680087379423824}
{93.5, 1.35529818202356}
{94., 1.343357647234701}
{94.5, 1.343414232095171}
{95., 1.3554174717937326}
{95.5, 1.3681358382141782}
{96., 1.3700791485545216}
{96.5, 1.3595335941627453}
{97., 1.3459800544500968}
{97.5, 1.3420281338485824}
{98., 1.3514554356094888}
{98.5, 1.36536127284666}
{99., 1.371047640801311}
{99.5, 1.3634852417464525}
{100., 1.3494111501091832}
{100.5, 1.3417813406009493}
{101., 1.347857171620443}
{101.5, 1.361859285012014}
{102., 1.3708648194322337}
{102.5, 1.3668480679720216}
{103., 1.3533777990171372}
{103.5, 1.3427126607530206}
{104., 1.3449157271663834}
{104.5, 1.3579024929819967}
{105., 1.3695467338144411}
{105.5, 1.3693774169628354}
{106., 1.3575645526804825}
{106.5, 1.3447416095723148}
{107., 1.3428999088529698}
{107.5, 1.3538083810370865}
{108., 1.3671917129168514}
{108.5, 1.3708981286724953}
{109., 1.3616449438140084}
{109.5, 1.347706861466439}
{110., 1.3419825173710778}
{110.5, 1.3499133263791248}
{111., 1.3639897024887264}
{111.5, 1.3712855032916695}
{112., 1.3653123587306308}
{112.5, 1.3513757027750275}
{113., 1.3422341516973584}
{113.5, 1.3465470205027912}
{114., 1.3601960931891497}
{114.5, 1.370523452637212}
{115., 1.3682848112341732}
{115.5, 1.3554528469660905}
{116., 1.3436569938382465}
{116.5, 1.3439741627920183}
{117., 1.3561055112312008}
{117.5, 1.3686772143375872}
{118., 1.3703277360824986}
{118.5, 1.3596099834203188}
{119., 1.3461278219979749}
{119.5, 1.342422402297655}
{120., 1.3520401637608155}
{120.5, 1.3658791910230408}
{121., 1.3713073564854006}
{121.5, 1.3635120834472896}
{122., 1.3494348992202125}
{122.5, 1.3420314797705366}
{123., 1.3483270624353887}
{123.5, 1.3623440959514899}
{124., 1.371140486999896}
{124.5, 1.3668641960026324}
{125., 1.353313460462162}
{125.5, 1.3428203401605103}
{126., 1.3452831487450492}
{126.5, 1.3583497727831821}
{127., 1.3698370249137242}
{127.5, 1.3694178325962343}
{128., 1.357451065171364}
{128.5, 1.3447349384805256}
{129., 1.343158133080141}
{129.5, 1.354215508653068}
{130., 1.3675094318534704}
{130.5, 1.3709643492307881}
{131., 1.3615213353586486}
{131.5, 1.3476193766774975}
{132., 1.3421229449691015}
{132.5, 1.350271134138958}
{133., 1.3643304457218233}
{133.5, 1.3713982811105554}
{134., 1.3651996294362627}
{134.5, 1.3512297425483348}
{135., 1.342280671991181}
{135.5, 1.3468275171252684}
{136., 1.3605409810594353}
{136.5, 1.3706926505079737}
{137., 1.3681930147813381}
{137.5, 1.3552656875123033}
{138., 1.343609579574184}
{138.5, 1.3441757165516335}
{139., 1.3564334132555058}
{139.5, 1.3688869695982508}
{140., 1.370290776164274}
{140.5, 1.3594034360852665}
{141., 1.3459942130172224}
{141.5, 1.3425454006613045}
{142., 1.3523354781222894}
{142.5, 1.3661229440561051}
{143., 1.371326787784149}
{143.5, 1.3633199640427807}
{144., 1.3492438906654196}
{144.5, 1.3420584780420648}
{145., 1.3485835935301762}
{145.5, 1.362617556598777}
{146., 1.3712151003642157}
{146.5, 1.3667126101243314}
{147., 1.3530894342952517}
{147.5, 1.342764682055597}
{148., 1.3454836657318947}
{148.5, 1.3586388885899765}
{149., 1.3699785102217854}
{149.5, 1.3693107746951503}
{150., 1.357217702657121}
{150.5, 1.34461051763746}
{151., 1.3432803712906058}
{151.5, 1.3544994762715281}
{152., 1.3677084368141896}
{152.5, 1.370917110325733}
{153., 1.3612974212315736}
{153.5, 1.3474365079667896}
{154., 1.3421720164181634}
{154.5, 1.3505236171160389}
{155., 1.3645672743441226}
{155.5, 1.3714251090093097}
{156., 1.3649964785253168}
{156.5, 1.35099799002211}
{157., 1.3422503264315209}
{157.5, 1.347033420106675}
{158., 1.3607983894359856}
{158.5, 1.3707791895011063}
{159., 1.368042152390395}
{159.5, 1.3550123942744565}
{160., 1.3434996212925907}
{160.5, 1.344326980743024}
{161., 1.3566981040065613}
{161.5, 1.369034288265167}
{162., 1.370201531309688}
{162.5, 1.3591535245965232}
{163., 1.345823359665592}
{163.5, 1.3426214863431967}
{164., 1.3525929911851287}
{164.5, 1.3663283917061344}
{165., 1.3712981047128605}
{165.5, 1.3630969339247092}
{166., 1.3490292730741793}
{166.5, 1.3420572069880237}
{167., 1.3488129078803286}
