{0., 2.8853900817780302}
{0.5, 2.88064131626637}
{1., 2.840914773821636}
{1.5, 2.7890141899400995}
{2., 2.7770466979561443}
{2.5, 2.7598264293830344}
{3., 2.687932106659979}
{3.5, 2.6295902217985523}
{4., 2.622106641868709}
{4.5, 2.5983861652819535}
{5., 2.5303986684711495}
{5.5, 2.4872469871644194}
{6., 2.484199507150909}
{6.5, 2.457965995227382}
{7., 2.401553820538311}
{7.5, 2.3728804841239888}
{8., 2.3717289981132437}
{8.5, 2.34499338306592}
{9., 2.299820183308228}
{9.5, 2.281847378710526}
{10., 2.2808620817551377}
{10.5, 2.2546777196266135}
{11., 2.2189636851385575}
{11.5, 2.2084751772761537}
{12., 2.2067042587662637}
{12.5, 2.181671285429611}
{13., 2.1537098007870146}
{13.5, 2.148392157556624}
{14., 2.145378270586468}
{14.5, 2.121828736864665}
{15., 2.100233672197592}
{15.5, 2.0984345331343928}
{16., 2.0940135438194964}
{16.5, 2.072133343470774}
{17., 2.0558917049561654}
{17.5, 2.05635384702963}
{18., 2.050478415199302}
{18.5, 2.0304285326601246}
{19., 2.0187265651959407}
{19.5, 2.0205168658998227}
{20., 2.0132732344624307}
{20.5, 1.9951717779382272}
{21., 1.9873195871088307}
{21.5, 1.9896685470786781}
{22., 1.9812173565320326}
{22.5, 1.965142475324999}
{23., 1.9606403375655104}
{23.5, 1.962917718254514}
{24., 1.9534120184026662}
{24.5, 1.9395142583515497}
{25., 1.9378093316694984}
{25.5, 1.9395364668546304}
{26., 1.9292127629388671}
{26.5, 1.9176243220502855}
{27., 1.91819758601194}
{27.5, 1.9189181699526199}
{28., 1.908078612192567}
{28.5, 1.898892765323908}
{29., 1.9011940444284123}
{29.5, 1.9006331746999958}
{30., 1.8895959557190862}
{30.5, 1.8829289502477389}
{31., 1.8863802492145525}
{31.5, 1.8843490509140057}
{32., 1.8734905303336742}
{32.5, 1.8693324251912995}
{33., 1.8733475861778093}
{33.5, 1.8697441615424926}
{34., 1.8595190026452393}
{34.5, 1.8577655462325593}
{35., 1.861759969835225}
{35.5, 1.8566678585132568}
{36., 1.8474868608593513}
{36.5, 1.8479326668195681}
{37., 1.8513310319354113}
{37.5, 1.844945439994977}
{38., 1.837200473061648}
{38.5, 1.8394974620757083}
{39., 1.8418532080251253}
{39.5, 1.834466935443847}
