{0., 2.8853900817780302}
{0.5, 2.8812124949305282}
{1., 2.8535122758144973}
{1.5, 2.8349879971317655}
{2., 2.828777615775434}
{2.5, 2.783135510750538}
{3., 2.7499836001145153}
{3.5, 2.745743597764167}
{4., 2.703087943781018}
{4.5, 2.663108091659762}
{5., 2.6593655088997705}
{5.5, 2.6264765412694127}
{6., 2.584900216366237}
{6.5, 2.579713507736196}
{7., 2.5571050787271004}
{7.5, 2.5171811129663153}
{8., 2.5093331788477773}
{8.5, 2.4953168227934928}
{9., 2.4589844382014903}
{9.5, 2.448052016174675}
{10., 2.440356998802056}
{10.5, 2.4088414123560975}
{11., 2.394933557151119}
{11.5, 2.3913412393392237}
{12., 2.365215511550562}
{12.5, 2.348833987954195}
{13., 2.3474510897459115}
{13.5, 2.326830495427053}
{14., 2.308787212746373}
{14.5, 2.3080253163467974}
{15., 2.2927213874996273}
{15.5, 2.273877582369655}
{16., 2.2725641521631297}
{16.5, 2.2620555133283444}
{17., 2.2432962396318668}
{17.5, 2.240644383134664}
{18., 2.2342043121392967}
{18.5, 2.21639684131375}
{19., 2.211943813348827}
{19.5, 2.2087122881469248}
{20., 2.1925988242429546}
{20.5, 2.1862155326133457}
{21., 2.1852256771025003}
{21.5, 2.171378180763236}
{22., 2.163208052421073}
{22.5, 2.1635042550577577}
{23., 2.152292587068233}
{23.5, 2.142655141491032}
{24., 2.1433837903429405}
{24.5, 2.1349704429019725}
{25., 2.1243334922174}
{25.5, 2.1247725425015114}
{26., 2.1190809626035607}
{26.5, 2.1080187428293886}
{27., 2.1075989684256733}
{27.5, 2.104354801362117}
{28., 2.0934862630051008}
{28.5, 2.091803681432916}
{29., 2.0906278679004546}
{29.5, 2.080501065651122}
{30., 2.0773519100409126}
{30.5, 2.0777485928571098}
{31., 2.0688377481195546}
{31.5, 2.064246216443059}
{32., 2.065620033346474}
{32.5, 2.058294028619544}
{33., 2.052409692700751}
{33.5, 2.0541727696530367}
{34., 2.0486706874069878}
{34.5, 2.0417697573492126}
{35., 2.0433748021337204}
{35.5, 2.0397519891839964}
{36., 2.0322914089625854}
{36.5, 2.0332431627031786}
{37., 2.0314474783821046}
{37.5, 2.0238257906146693}
{38., 2.0238047092051445}
{38.5, 2.0236271482679102}
{39., 2.016272940983776}
{39.5, 2.0150932789630023}
{40., 2.0161601363382413}
{40.5, 2.009518208880059}
{41., 2.007083411291436}
{41.5, 2.00904303753405}
{42., 2.0034482348273936}
{42.5, 1.9998219736316265}
{43., 2.0022383738365406}
{43.5, 1.9979426867597252}
{44., 1.9932953386891576}
{44.5, 1.9957137993025602}
{45., 1.9928827834318144}
{45.5, 1.9874550296549693}
{46., 1.9894914839191435}
{46.5, 1.9881352006365687}
{47., 1.9823207642177147}
{47.5, 1.9835903516485835}
{48., 1.9836287084450666}
{48.5, 1.9777935171783398}
{49., 1.9780679995613484}
{49.5, 1.9793191129501333}
{50., 1.9737876296159564}
{50.5, 1.9729877698932667}
{51., 1.9751079254765656}
{51.5, 1.9702633134062968}
{52., 1.9683095471285017}
{52.5, 1.9710366922939428}
{53., 1.9671422868625144}
{53.5, 1.9641291958182014}
{54., 1.9670313483996344}
{54.5, 1.9643136220742157}
{55., 1.9603889256060107}
{55.5, 1.9631277593013894}
{56., 1.9616689796917768}
{56.5, 1.95714928552302}
{57., 1.9593697386280036}
{57.5, 1.959170423899727}
{58., 1.9543308625091862}
{58.5, 1.955800458680439}
{59., 1.9567689469022458}
{59.5, 1.9519145727647147}
{60., 1.9524542200141854}
{60.5, 1.9543662892583122}
