{0., 0}
{0.5, 0.0007868869520361567}
{1., 0.0059561235608452745}
{1.5, 0.007280616799410008}
{2., 0.0081823663978261}
{2.5, 0.01791698644276245}
{3., 0.021611740059992206}
{3.5, 0.023151754551169752}
{4., 0.0348827434485179}
{4.5, 0.040824191364353425}
{5., 0.04203393602278699}
{5.5, 0.05396541944669961}
{6., 0.06184379677650802}
{6.5, 0.062626855746715}
{7., 0.07366791040994315}
{7.5, 0.08313285123232331}
{8., 0.08375112519649608}
{8.5, 0.09330461468024247}
{9., 0.10395847381787893}
{9.5, 0.10477483399258086}
{10., 0.11257205939631448}
{10.5, 0.1239850976734847}
{11., 0.12534906290077713}
{11.5, 0.13134464155007547}
{12., 0.14307769605447462}
{12.5, 0.1452707554974209}
{13., 0.14957806754068048}
{13.5, 0.16120418290604643}
{14., 0.1644172100854333}
{14.5, 0.167258801826037}
{15., 0.17838560761300148}
{15.5, 0.1827094867002947}
{16., 0.18438254184188727}
{16.5, 0.19467082924022788}
{17., 0.20010108680732205}
{17.5, 0.20094170800978173}
{18., 0.2101241990170642}
{18.5, 0.2165676261873251}
{19., 0.21692419996091383}
{19.5, 0.22481338594388273}
{20., 0.23210483487333497}
{20.5, 0.23231085452169084}
{21., 0.23880496186204442}
{21.5, 0.24672367503142348}
{22., 0.24708045219772626}
{22.5, 0.2521604964172006}
{23., 0.2604508803275163}
{23.5, 0.2612107160043502}
{24., 0.26493409822048974}
{24.5, 0.27332335033259536}
{25., 0.27467963498914005}
{25.5, 0.2771691828434554}
{26., 0.28538619796373815}
{26.5, 0.2874699635873787}
{27., 0.28890056536225}
{27.5, 0.2966932603870317}
{28., 0.29957043126481653}
{28.5, 0.30015423586209067}
{29., 0.3073007920402928}
{29.5, 0.31097457747718305}
{30., 0.3109466535040789}
{30.5, 0.3172666214989548}
{31., 0.3216834676217085}
{31.5, 0.3212877880619943}
{32., 0.326648665026234}
{32.5, 0.33170589304446035}
{33., 0.3311822607297391}
{33.5, 0.33550296124050316}
{34., 0.34105723060154247}
{34.5, 0.34062998809611067}
{35., 0.34388200843884975}
{35.5, 0.3497594688362665}
{36., 0.3496278331948697}
{36.5, 0.3518338374958363}
{37., 0.35784071927170535}
{37.5, 0.35817035106885986}
{38., 0.3594012741530416}
{38.5, 0.36533484648352144}
{39., 0.3662510642715221}
{39.5, 0.366621220655012}
{40., 0.37228056524584574}
{40.5, 0.3738636416486209}
{41., 0.373524273881885}
{41.5, 0.37872078951807175}
{42., 0.381002926404786}
{42.5, 0.38013477847897514}
{43., 0.38470190707373686}
{43.5, 0.38766640881758024}
{44., 0.38647012452015816}
{44.5, 0.39027175005232384}
{45., 0.3938550409934011}
{45.5, 0.3925404265769785}
{46., 0.3954781305633259}
{46.5, 0.39957295349832134}
{47., 0.39834878922470324}
{47.5, 0.4003694259670146}
{48., 0.4048308485117833}
{48.5, 0.40389282045333313}
{49., 0.4049920382613377}
{49.5, 0.4096461693880789}
{50., 0.4091654881824368}
{50.5, 0.4093882268744499}
{51., 0.4140410664009635}
{51.5, 0.4141539719697964}
{52., 0.41359417367130347}
{52.5, 0.41804470253354126}
{53., 0.4188438292391977}
{53.5, 0.4176417417674554}
{54., 0.42169392278244033}
{54.5, 0.4232217595887027}
{55., 0.42155330378168326}
{55.5, 0.4250273639726845}
{56., 0.42727305187581743}
{56.5, 0.4253420153401609}
{57., 0.42809075483757353}
{57.5, 0.43098962765051874}
{58., 0.42901439396087043}
{58.5, 0.43092988267883925}
{59., 0.4343666140277367}
