{0., 0}
{0.5, 0.0003984501191993727}
{1., 0.004450180091843467}
{1.5, 0.013726443198770196}
{2., 0.021874459558998555}
{2.5, 0.019444205602204837}
{3., 0.005884929604146185}
{3.5, 0}
{4., 0.006801184819740855}
{4.5, 0.017044283131855055}
{5., 0.016802578778697775}
{5.5, 0.003920383804243614}
{6., 0}
{6.5, 0}
{7., 0.0021408558462525738}
{7.5, 0.008271193154452891}
{8., 0.0015375506812524403}
{8.5, 0}
{9., 0}
{9.5, 0}
{10., 0}
{10.5, 0.00040552756062122374}
{11., 0}
{11.5, 0}
{12., 0}
{12.5, 0}
{13., 0}
{13.5, 0}
{14., 0}
{14.5, 0}
{15., 0}
{15.5, 0}
{16., 0}
{16.5, 0}
{17., 0}
{17.5, 0}
{18., 0}
{18.5, 0}
{19., 0}
{19.5, 0}
{20., 0}
{20.5, 0}
{21., 0}
{21.5, 0.0012220987490741012}
{22., 0}
{22.5, 0}
{23., 0}
{23.5, 0}
{24., 0}
{24.5, 0.0017430334433760184}
{25., 0}
{25.5, 0}
{26., 0}
{26.5, 0}
{27., 0.0028124539333606482}
{27.5, 0.0010413971813454392}
{28., 0}
{28.5, 0}
{29., 0}
{29.5, 0}
{30., 0.004418313045557689}
{30.5, 0}
{31., 0}
{31.5, 0}
{32., 0}
{32.5, 0.0022656688347175878}
{33., 0.004786414908491839}
{33.5, 0}
{34., 0}
{34.5, 0}
{35., 0}
{35.5, 0.004831110457972503}
{36., 0.004011069935438344}
{36.5, 0}
{37., 0}
{37.5, 0}
{38., 0}
{38.5, 0.006310459736160767}
{39., 0.0022410482416092624}
{39.5, 0}
{40., 0}
{40.5, 0}
{41., 0.002975435267119254}
{41.5, 0.006687485969908621}
{42., 0}
{42.5, 0}
{43., 0}
{43.5, 0}
{44., 0.005510340815322396}
{44.5, 0.006001261302048507}
{45., 0}
{45.5, 0}
{46., 0}
{46.5, 0}
{47., 0.007100792747764486}
{47.5, 0.0043470185218403}
{48., 0}
{48.5, 0}
{49., 0}
{49.5, 0.0026341739163716587}
{50., 0.007682355665285554}
{50.5, 0.0018786939949914422}
{51., 0}
{51.5, 0}
{52., 0}
{52.5, 0.005310290612575937}
{53., 0.0072486916217876325}
{53.5, 0}
{54., 0}
{54.5, 0}
{55., 0}
{55.5, 0.007152271813432754}
{56., 0.005852035890464744}
{56.5, 0}
{57., 0}
{57.5, 0}
{58., 0.0016743624364069342}
{58.5, 0.008055552799971943}
{59., 0.0036049307926375685}
{59.5, 0}
{60., 0}
{60.5, 0}
{61., 0.004562593691100266}
{61.5, 0.007976158494564622}
{62., 0.0006830091634971053}
{62.5, 0}
{63., 0}
{63.5, 0}
{64., 0.006716901765514885}
{64.5, 0.006930285420897075}
{65., 0}
{65.5, 0}
{66., 0}
{66.5, 0.00035940370179779344}
{67., 0.007996901678834444}
{67.5, 0.004995124307911091}
{68., 0}
{68.5, 0}
{69., 0}
{69.5, 0.0034681081650716123}
{70., 0.008324905386649956}
{70.5, 0.0023109029595594394}
{71., 0}
{71.5, 0}
{72., 0}
{72.5, 0.005945698884027602}
{73., 0.0076846843366539285}
{73.5, 0}
{74., 0}
{74.5, 0}
{75., 0}
{75.5, 0.007617929366358759}
{76., 0.006121379751887406}
{76.5, 0}
{77., 0}
{77.5, 0}
{78., 0.0021451890951893087}
{78.5, 0.008375099370659275}
{79., 0.003742756201513155}
{79.5, 0}
{80., 0}
{80.5, 0}
{81., 0.0049273664081508385}
{81.5, 0.008170116299944942}
{82., 0.0007215731693664569}
{82.5, 0}
{83., 0}
{83.5, 0}
{84., 0.006983022166135001}
{84.5, 0.0070176076832922304}
{85., 0}
{85.5, 0}
{86., 0}
{86.5, 0.0006664342041584106}
{87., 0.008170912581290542}
{87.5, 0.004994425447011153}
{88., 0}
{88.5, 0}
{89., 0}
